native_language,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
italian,0.11,0.235,0.262,0.575,0.06,0.217,0.643,0.588,0.06,0.188,0.667,0.681,0.09,0.196,0.095,0.65,0.14,0.163,0.929,0.562,0.12,0.165,0.405,0.9,0.6
italian,0.09,0.219,0.976,0.919,0.08,0.202,0.976,1.0,0.08,0.221,0.786,0.975,0.08,0.218,0.952,0.906,0.06,0.212,0.881,0.831,0.15,0.183,0.952,0.756,0.863
italian,0.12,0.243,0.095,0.869,0.05,0.202,0.714,0.506,0.06,0.23,0.81,0.0,0.11,0.219,0.048,0.588,0.11,0.175,0.643,0.544,0.17,0.16,0.143,0.869,0.525
italian,0.15,0.236,0.976,1.0,0.05,0.303,0.976,1.0,0.09,0.222,0.976,0.956,0.09,0.187,0.952,0.975,0.08,0.188,0.667,0.925,0.22,0.166,0.952,0.706,0.95
italian,0.11,0.229,0.024,0.606,0.05,0.303,0.0,0.0,0.08,0.217,0.214,0.544,0.06,0.218,0.976,0.919,0.17,0.166,0.929,0.619,0.14,0.176,0.024,0.925,0.544
italian,0.31,0.14,0.286,0.294,0.08,0.151,0.0,0.431,0.08,0.162,0.69,0.694,0.15,0.175,0.095,0.869,0.11,0.151,0.738,0.544,0.05,0.162,0.048,0.0,0.669
italian,0.51,0.13,0.048,0.487,0.11,0.181,0.929,0.456,0.15,0.146,0.0,0.0,0.08,0.21,0.048,0.0,0.08,0.188,0.905,0.831,0.06,0.182,0.024,0.844,0.0
italian,0.17,0.229,0.595,0.0,0.08,0.223,0.095,0.869,0.08,0.188,0.476,0.662,0.12,0.198,0.167,0.731,0.08,0.189,0.929,0.569,0.23,0.181,0.095,0.9,0.537
italian,0.14,0.253,0.762,0.844,0.06,0.294,0.071,0.887,0.05,0.196,0.143,0.681,0.06,0.221,0.143,0.719,0.11,0.162,0.929,0.675,0.23,0.15,0.857,0.938,0.475
italian,0.25,0.156,0.024,0.506,0.05,0.223,0.929,0.556,0.06,0.209,0.0,0.0,0.09,0.219,0.048,0.0,0.15,0.15,0.595,0.438,0.08,0.183,0.714,0.8,0.0
italian,0.15,0.219,0.976,0.988,0.06,0.224,0.881,1.0,0.05,0.171,0.714,0.569,0.08,0.192,0.952,0.706,0.08,0.185,0.929,1.0,0.14,0.171,0.952,0.963,0.0
italian,0.66,0.125,0.071,0.444,0.08,0.275,0.738,0.487,0.09,0.189,0.0,0.844,0.05,0.212,0.0,0.0,0.09,0.185,0.0,0.0,0.05,0.179,0.381,0.0,0.0
italian,0.17,0.214,0.143,0.6,0.06,0.221,0.929,0.544,0.08,0.186,0.69,0.781,0.11,0.201,0.357,0.869,0.11,0.174,0.619,0.55,0.22,0.158,0.024,0.856,0.519
italian,0.11,0.235,0.976,0.981,0.05,0.25,0.786,1.0,0.05,0.168,0.643,0.0,0.11,0.189,0.952,0.694,0.08,0.177,0.619,0.0,0.14,0.165,0.952,0.756,0.988
italian,0.14,0.186,0.976,0.719,0.06,0.257,0.976,1.0,0.08,0.216,0.976,1.0,0.08,0.196,0.952,0.963,0.06,0.174,0.762,0.544,0.09,0.175,0.929,0.906,0.963
italian,0.28,0.143,0.31,0.769,0.05,0.224,0.071,0.594,0.05,0.218,0.595,0.731,0.09,0.219,0.405,0.869,0.06,0.204,0.333,0.756,0.14,0.191,0.762,0.831,0.869
irish,0.11,0.257,0.976,0.95,0.05,0.252,0.929,1.0,0.09,0.218,0.929,0.988,0.08,0.189,0.095,0.919,0.06,0.177,0.714,1.0,0.12,0.166,0.952,0.769,0.975
indonesian,0.06,0.188,0.881,0.963,0.05,0.242,0.976,1.0,0.05,0.196,0.69,0.0,0.08,0.202,0.952,0.912,0.09,0.185,0.762,0.0,0.09,0.17,0.881,0.95,0.963
indonesian,0.11,0.158,0.19,1.0,0.05,0.174,0.786,0.744,0.08,0.165,0.857,0.906,0.11,0.199,0.952,0.931,0.08,0.194,0.905,1.0,0.15,0.194,0.976,0.938,0.875
italian,0.23,0.15,0.143,0.575,0.09,0.215,0.976,0.6,0.09,0.199,0.762,1.0,0.09,0.193,0.238,0.644,0.09,0.192,0.714,0.644,0.25,0.156,0.571,0.825,0.637
indonesian,0.12,0.237,0.119,0.731,0.05,0.252,0.333,0.519,0.11,0.228,0.929,0.719,0.14,0.182,0.024,0.875,0.08,0.198,0.405,0.656,0.46,0.137,0.952,0.906,0.931
indonesian,0.14,0.235,0.976,0.988,0.06,0.273,0.976,1.0,0.06,0.188,0.929,0.988,0.08,0.189,0.976,0.912,0.06,0.204,0.952,1.0,0.15,0.174,0.976,0.975,1.0
indonesian,0.08,0.186,0.881,0.988,0.05,0.232,0.976,0.963,0.06,0.197,0.643,0.0,0.09,0.22,0.976,0.912,0.08,0.201,0.952,0.0,0.06,0.18,0.167,0.975,0.594
indonesian,0.06,0.183,0.143,0.975,0.05,0.245,0.976,0.956,0.05,0.184,0.643,0.0,0.12,0.191,0.952,0.719,0.06,0.188,0.0,0.0,0.08,0.184,0.762,0.881,0.556
indonesian,0.06,0.211,0.976,0.744,0.06,0.289,0.976,1.0,0.08,0.22,0.952,0.975,0.09,0.193,0.952,0.931,0.09,0.192,0.0,0.0,0.11,0.195,0.976,0.925,0.0
indonesian,0.09,0.175,0.476,0.887,0.06,0.168,0.167,0.0,0.15,0.152,0.881,0.75,0.09,0.206,0.214,0.956,0.11,0.187,0.524,0.719,0.31,0.173,0.833,0.719,0.669
igbo,0.25,0.161,0.976,0.863,0.05,0.303,0.381,1.0,0.06,0.199,0.81,0.619,0.09,0.226,0.119,0.9,0.08,0.184,0.881,0.544,0.05,0.207,0.071,0.894,0.0
ilonggo,0.08,0.186,0.143,0.713,0.08,0.173,0.31,0.562,0.08,0.218,0.548,0.631,0.14,0.181,0.167,0.831,0.08,0.176,0.905,0.55,0.4,0.147,0.333,0.894,0.544
igbo,0.58,0.129,0.071,0.769,0.06,0.234,0.333,0.0,0.08,0.188,0.5,0.781,0.11,0.189,0.119,0.725,0.08,0.174,0.476,0.531,0.11,0.193,0.238,0.719,0.719
igbo,0.05,0.165,0.0,0.0,0.06,0.179,0.024,0.0,0.05,0.173,0.405,0.0,0.06,0.204,0.286,0.0,0.05,0.191,0.643,0.0,0.11,0.171,0.143,0.931,0.556
ife,0.18,0.189,0.024,0.581,0.08,0.219,0.024,0.681,0.05,0.182,0.81,0.656,0.06,0.198,0.143,0.856,0.08,0.218,0.786,0.506,0.14,0.183,0.024,0.925,0.438
icelandic,0.09,0.196,0.857,0.988,0.05,0.258,0.952,0.819,0.06,0.207,0.714,0.0,0.15,0.175,0.881,0.844,0.09,0.166,0.667,0.938,0.12,0.175,0.905,0.869,0.95
icelandic,0.2,0.151,0.0,0.812,0.08,0.23,0.024,0.412,0.14,0.213,0.976,0.706,0.18,0.192,0.024,0.875,0.12,0.168,0.714,0.519,0.51,0.137,0.81,0.869,0.65
icelandic,0.11,0.173,0.048,0.756,0.08,0.213,0.952,0.544,0.06,0.203,0.0,0.0,0.14,0.181,0.833,0.713,0.11,0.167,0.833,0.925,0.12,0.16,0.286,0.0,0.0
ibibio,0.2,0.179,0.5,0.706,0.12,0.179,0.31,0.738,0.06,0.189,0.476,0.594,0.18,0.183,0.19,0.844,1.09,0.118,0.905,0.537,0.05,0.185,0.0,0.925,0.0
ibibio,0.11,0.169,0.119,0.887,0.08,0.208,0.214,0.656,0.11,0.166,0.786,0.606,0.15,0.193,0.214,0.856,0.05,0.197,0.667,0.625,0.26,0.156,0.19,0.819,0.388
ibibio,0.14,0.181,0.976,0.906,0.15,0.158,0.976,1.0,0.05,0.185,0.952,0.894,0.06,0.194,0.143,0.844,0.05,0.182,0.786,0.544,0.05,0.173,0.286,0.0,0.625
hungarian,0.08,0.173,0.071,0.787,0.06,0.212,0.976,0.756,0.09,0.207,0.952,1.0,0.11,0.19,0.976,0.963,0.12,0.172,0.929,0.963,0.2,0.161,0.976,0.938,0.787
hungarian,0.06,0.173,0.405,0.956,0.11,0.191,0.976,0.975,0.08,0.22,0.976,0.975,0.12,0.187,0.976,0.969,0.06,0.195,0.905,0.963,0.28,0.182,0.976,0.931,1.0
hungarian,0.06,0.164,0.214,0.606,0.14,0.176,0.214,0.356,0.08,0.204,0.762,0.719,0.09,0.216,0.333,0.938,0.08,0.198,0.929,0.637,0.42,0.15,0.952,0.912,0.969
hungarian,0.08,0.178,0.905,0.9,0.09,0.212,0.976,1.0,0.06,0.206,0.952,0.975,0.11,0.194,0.952,0.938,0.08,0.211,0.976,0.988,0.34,0.16,0.976,0.675,0.956
hungarian,0.09,0.172,0.738,0.95,0.06,0.294,0.976,0.938,0.08,0.227,0.905,1.0,0.08,0.212,0.952,0.919,0.12,0.167,0.69,0.0,0.14,0.167,0.857,0.794,0.963
hungarian,0.12,0.197,0.976,1.0,0.05,0.209,0.976,1.0,0.09,0.204,0.952,0.919,0.11,0.217,0.976,0.975,0.09,0.175,0.857,0.0,0.09,0.167,0.476,0.95,0.519
hungarian,0.05,0.17,0.595,0.919,0.08,0.204,0.952,0.819,0.12,0.182,0.976,0.931,0.08,0.184,0.905,0.988,0.08,0.179,0.643,0.95,0.25,0.147,0.119,0.8,0.519
hungarian,0.05,0.172,0.357,0.869,0.12,0.16,0.952,0.769,0.08,0.181,0.976,0.988,0.05,0.166,0.167,0.0,0.05,0.201,0.833,0.606,0.17,0.176,0.976,0.912,1.0
hungarian,0.05,0.175,0.381,0.619,0.17,0.159,0.976,0.694,0.48,0.139,0.976,1.0,0.11,0.167,0.881,0.887,1.34,0.115,0.833,0.438,0.46,0.138,0.119,0.65,0.931
hindi,0.09,0.207,0.976,0.781,0.05,0.3,0.976,1.0,0.08,0.21,0.976,0.0,0.06,0.204,0.071,0.988,0.05,0.2,0.905,0.0,0.05,0.158,0.167,0.881,0.0
hmong,0.12,0.197,0.976,1.0,0.05,0.235,0.476,1.0,0.06,0.217,0.976,0.569,0.08,0.21,0.976,1.0,0.11,0.194,0.929,1.0,0.11,0.199,0.952,0.963,0.806
hmong,0.78,0.121,0.619,1.0,0.05,0.297,0.81,0.375,0.09,0.206,0.381,0.606,0.06,0.233,0.048,0.731,0.09,0.184,0.952,0.469,0.17,0.17,0.905,0.881,0.9
hindko,0.23,0.161,0.071,0.975,0.09,0.221,0.976,0.55,0.23,0.153,0.952,0.988,0.15,0.19,0.976,0.988,0.58,0.123,0.952,0.694,0.22,0.149,0.119,0.906,0.0
hindi,0.12,0.192,0.976,0.669,0.05,0.303,0.976,0.988,0.06,0.192,0.952,0.963,0.09,0.197,0.881,0.819,0.06,0.196,0.81,0.938,0.09,0.19,0.952,0.869,1.0
hindi,0.08,0.166,0.048,0.731,0.11,0.168,0.619,0.544,0.09,0.201,0.976,0.894,0.12,0.198,0.19,0.938,0.06,0.203,0.905,0.669,0.37,0.155,0.952,0.881,0.988
hindi,0.05,0.167,0.262,0.938,0.09,0.179,0.929,0.831,0.06,0.2,0.738,1.0,0.08,0.207,0.976,0.919,0.08,0.191,0.929,0.988,0.22,0.161,0.929,0.819,0.988
hindi,0.05,0.177,0.738,0.0,0.09,0.209,0.952,0.869,0.09,0.192,0.952,0.887,0.09,0.194,0.976,0.975,0.09,0.199,0.929,1.0,0.22,0.17,0.929,0.975,0.925
hindi,0.08,0.182,0.571,0.844,0.08,0.281,0.071,0.619,0.05,0.212,0.5,0.744,0.11,0.191,0.119,0.694,0.06,0.182,0.619,0.656,0.17,0.17,0.357,0.694,0.0
hindi,0.06,0.164,0.119,0.644,0.06,0.194,0.881,0.594,0.06,0.176,0.81,0.944,0.09,0.189,0.095,0.975,0.09,0.194,0.786,0.575,0.11,0.205,0.19,0.869,0.606
hindi,0.05,0.174,0.238,0.694,0.15,0.165,0.952,0.769,0.08,0.191,0.881,0.988,0.08,0.236,0.976,0.806,0.08,0.193,0.952,0.0,0.25,0.147,0.929,0.975,0.738
hindi,0.08,0.173,0.405,0.95,0.12,0.196,0.333,0.656,0.23,0.142,0.738,0.475,0.06,0.206,0.143,0.869,0.08,0.199,0.81,0.569,0.42,0.144,0.429,0.881,0.756
hindi,0.08,0.175,0.667,0.988,0.11,0.195,0.976,1.0,0.11,0.209,0.976,0.988,0.18,0.167,0.857,0.994,0.08,0.178,0.857,0.856,0.29,0.158,0.952,0.938,0.981
hindi,0.15,0.16,0.571,0.975,0.14,0.16,0.976,0.838,0.11,0.165,0.833,0.0,0.12,0.192,0.976,0.969,0.06,0.199,0.976,1.0,0.14,0.17,0.976,0.881,0.988
hindi,0.05,0.163,0.214,0.844,0.09,0.186,0.952,0.706,0.06,0.2,0.571,0.988,0.06,0.203,0.976,0.756,0.05,0.186,0.286,0.537,0.14,0.166,0.881,0.906,0.912
hindi,0.22,0.144,0.452,0.8,0.11,0.198,0.5,0.306,0.18,0.144,0.595,0.644,0.08,0.211,0.048,0.762,0.08,0.212,0.214,0.525,0.25,0.172,0.286,0.0,0.719
hindi,0.48,0.131,0.0,0.794,0.05,0.289,0.881,1.0,0.06,0.202,0.881,0.556,0.11,0.191,0.167,0.963,0.05,0.182,0.571,0.519,0.15,0.17,0.905,0.963,0.975
hindi,0.08,0.201,0.881,1.0,0.08,0.204,0.976,0.963,0.08,0.189,0.976,1.0,0.09,0.192,0.119,0.988,0.05,0.205,0.452,0.606,0.18,0.163,0.976,0.844,0.988
hindi,0.06,0.169,0.024,0.819,0.08,0.174,0.071,0.556,0.14,0.182,0.905,0.644,0.09,0.199,0.167,0.787,0.06,0.238,0.952,0.644,0.25,0.179,0.857,0.988,0.662
hindi,0.05,0.166,0.071,0.0,0.06,0.201,0.024,0.0,0.06,0.207,0.286,0.0,0.06,0.228,0.31,0.0,0.06,0.266,0.381,0.0,0.32,0.143,0.405,0.725,0.644
hindi,0.08,0.157,0.357,0.812,0.11,0.162,0.929,0.719,0.22,0.146,0.905,0.988,0.08,0.21,0.095,0.838,0.06,0.191,0.952,1.0,0.28,0.152,0.976,0.969,0.838
hebrew,0.12,0.213,0.643,0.756,0.05,0.239,0.333,0.825,0.05,0.203,0.452,0.0,0.09,0.193,0.143,0.856,0.11,0.169,0.667,0.9,0.18,0.155,0.143,0.894,0.575
hebrew,0.15,0.203,0.976,0.938,0.05,0.261,0.976,1.0,0.08,0.211,0.976,0.919,0.06,0.214,0.976,0.975,0.11,0.173,0.929,0.975,0.09,0.185,0.952,0.975,0.975
hebrew,0.15,0.206,0.976,1.0,0.06,0.226,0.976,1.0,0.06,0.22,0.952,0.719,0.08,0.197,0.905,0.95,0.23,0.147,0.69,0.944,0.12,0.178,0.905,0.881,0.644
hebrew,0.06,0.217,0.976,0.669,0.06,0.289,0.976,1.0,0.08,0.2,0.0,0.0,0.09,0.178,0.071,1.0,0.05,0.203,0.976,0.581,0.09,0.188,0.214,0.944,0.0
hebrew,0.11,0.235,0.976,0.906,0.06,0.218,0.976,1.0,0.05,0.2,0.952,0.0,0.09,0.207,0.976,0.819,0.08,0.193,0.881,0.0,0.11,0.179,0.929,0.938,0.531
hebrew,0.11,0.188,0.976,1.0,0.06,0.24,0.976,1.0,0.06,0.199,0.786,0.975,0.08,0.202,0.952,0.806,0.06,0.195,0.714,0.631,0.05,0.174,0.19,0.881,0.769
hebrew,0.17,0.231,0.976,1.0,0.05,0.281,0.976,1.0,0.05,0.206,0.976,0.0,0.09,0.214,0.952,0.869,0.09,0.168,0.595,0.988,0.11,0.181,0.81,0.912,0.95
hebrew,0.09,0.24,0.952,0.975,0.05,0.228,0.976,0.988,0.09,0.189,0.976,0.919,0.08,0.242,0.976,0.994,0.08,0.182,0.786,0.0,0.08,0.193,0.952,0.831,0.881
hebrew,0.14,0.252,0.976,1.0,0.05,0.24,0.81,1.0,0.05,0.228,0.952,0.0,0.11,0.197,0.976,0.944,0.14,0.158,0.452,0.0,0.2,0.155,0.786,0.831,0.512
hausa,0.23,0.155,0.952,0.844,0.05,0.232,0.81,0.794,0.09,0.207,0.405,0.594,0.12,0.21,0.286,0.819,0.05,0.217,0.762,0.662,0.17,0.19,0.048,0.881,0.456
hausa,0.18,0.171,0.976,0.925,0.11,0.166,0.905,1.0,0.05,0.191,0.643,0.756,0.06,0.223,0.119,0.794,0.08,0.192,0.262,0.988,0.32,0.153,0.929,0.925,0.9
hausa,0.14,0.171,0.976,0.988,0.05,0.21,0.976,0.0,0.15,0.149,0.905,0.931,0.06,0.2,0.19,0.887,0.08,0.182,0.0,0.0,0.12,0.201,0.905,0.881,0.988
hausa,0.09,0.228,0.429,0.575,0.05,0.214,0.071,0.769,0.05,0.197,0.571,0.0,0.08,0.225,0.667,0.594,0.08,0.189,0.619,0.619,0.06,0.207,0.119,0.806,0.531
hausa,0.15,0.254,0.452,0.794,0.09,0.204,0.833,0.738,0.08,0.214,0.548,0.9,0.06,0.228,0.095,0.7,0.11,0.195,0.619,0.581,0.15,0.165,0.024,0.8,0.412
hausa,0.18,0.168,0.619,0.644,0.17,0.167,0.714,0.938,0.05,0.176,0.905,0.75,0.08,0.205,0.119,0.688,0.06,0.192,0.857,0.0,0.18,0.184,0.071,0.925,0.569
hausa,0.09,0.187,0.048,0.744,0.05,0.182,0.238,0.0,0.12,0.148,0.429,0.656,0.05,0.245,0.024,0.956,0.14,0.195,0.5,0.525,0.06,0.193,0.357,0.894,0.519
hausa,0.15,0.206,0.976,0.775,0.06,0.212,0.952,1.0,0.08,0.203,0.881,0.581,0.14,0.181,0.952,0.912,0.06,0.202,0.929,0.988,0.17,0.19,0.976,0.963,0.969
hausa,0.18,0.153,0.238,0.756,0.17,0.169,0.071,0.594,0.08,0.172,0.452,0.706,0.08,0.198,0.19,0.831,0.06,0.191,0.714,0.544,0.17,0.166,0.214,0.894,0.519
hainanese,0.11,0.175,0.262,0.669,0.06,0.238,0.143,0.881,0.06,0.207,0.667,0.669,0.12,0.186,0.238,0.881,0.09,0.185,0.571,0.644,0.29,0.151,0.357,0.794,0.537
gujarati,0.12,0.158,0.667,0.956,0.09,0.194,0.976,0.938,0.06,0.172,0.881,0.988,0.08,0.194,0.976,0.8,0.06,0.211,0.0,0.0,0.05,0.177,0.214,0.944,0.0
hakka,0.14,0.177,0.714,0.731,0.05,0.197,0.595,0.606,0.06,0.187,0.857,0.0,0.17,0.178,0.119,0.869,0.08,0.197,0.643,0.419,0.12,0.17,0.31,0.856,0.688
hadiyya,0.18,0.156,0.69,0.625,0.05,0.25,0.929,0.894,0.05,0.199,0.238,0.0,0.15,0.165,0.143,0.675,0.09,0.186,0.976,0.506,0.17,0.174,0.333,0.9,0.662
hadiyya,0.06,0.193,0.5,0.731,0.05,0.176,0.786,0.831,0.05,0.187,0.643,0.681,0.15,0.179,0.095,0.831,0.11,0.192,0.976,0.5,0.34,0.145,0.19,0.919,0.419
gusii,0.43,0.132,0.214,0.912,0.05,0.297,0.857,0.419,0.06,0.221,0.214,0.0,0.11,0.187,0.048,0.831,0.09,0.187,0.714,0.5,0.23,0.154,0.262,0.838,0.556
gusii,0.12,0.174,0.024,0.731,0.05,0.235,0.31,0.5,0.06,0.208,0.833,0.0,0.11,0.218,0.429,0.881,0.06,0.201,0.905,0.562,0.35,0.153,0.952,0.944,0.494
gujarati,0.06,0.204,0.024,0.644,0.08,0.175,0.214,0.581,0.14,0.158,0.762,0.544,0.09,0.181,0.238,0.806,0.05,0.183,0.69,0.631,0.15,0.158,0.5,0.906,0.537
gujarati,0.06,0.171,0.429,0.963,0.09,0.188,0.952,0.769,0.11,0.163,0.976,0.988,0.09,0.193,0.905,0.981,0.05,0.216,0.881,0.963,0.12,0.177,0.952,0.931,0.988
gujarati,0.38,0.134,0.738,0.738,0.08,0.201,0.976,1.0,0.17,0.147,0.643,0.0,0.09,0.207,0.976,0.775,0.08,0.224,0.952,0.988,0.05,0.202,0.929,0.919,0.669
gujarati,0.05,0.18,0.595,0.719,0.08,0.189,0.952,0.863,0.12,0.153,0.976,0.975,0.12,0.193,0.952,0.919,0.08,0.192,0.976,1.0,0.06,0.189,0.881,1.0,0.919
gujarati,0.08,0.174,0.762,0.881,0.09,0.182,0.976,0.869,0.09,0.204,0.976,0.988,0.08,0.201,0.952,0.963,0.05,0.221,0.905,0.656,0.08,0.224,0.952,0.944,1.0
gujarati,0.22,0.147,0.333,0.956,0.09,0.197,0.976,0.806,0.12,0.155,0.976,0.988,0.11,0.178,0.357,0.975,0.06,0.2,0.976,1.0,0.08,0.17,0.667,0.975,0.744
gujarati,0.43,0.129,0.0,0.969,0.18,0.151,0.976,0.975,0.05,0.176,0.857,0.988,0.06,0.225,0.31,0.831,0.08,0.212,0.0,0.0,0.05,0.174,0.69,0.944,0.787
gujarati,0.05,0.171,0.19,0.794,0.11,0.176,0.952,0.669,0.11,0.174,0.976,1.0,0.14,0.185,0.976,0.975,0.08,0.201,0.905,0.644,0.14,0.2,0.929,0.956,0.656
greek,0.09,0.21,0.976,0.963,0.06,0.206,0.976,1.0,0.08,0.188,0.0,0.0,0.08,0.202,0.976,0.919,0.08,0.176,0.881,0.963,0.05,0.188,0.095,0.931,0.0
greek,0.11,0.228,0.976,0.656,0.05,0.202,0.69,1.0,0.05,0.202,0.857,0.0,0.08,0.213,0.976,0.844,0.08,0.17,0.357,0.988,0.15,0.168,0.952,0.719,0.0
greek,0.09,0.213,0.048,0.544,0.05,0.303,0.881,0.594,0.06,0.226,0.762,0.856,0.09,0.208,0.31,0.9,0.05,0.197,0.833,0.581,0.14,0.201,0.405,0.963,0.55
greek,0.14,0.253,0.024,0.912,0.05,0.275,0.0,0.0,0.05,0.18,0.333,0.0,0.09,0.197,0.381,0.0,0.06,0.185,0.452,0.606,0.12,0.196,0.262,0.7,0.531
greek,0.15,0.209,0.976,0.988,0.09,0.221,0.976,1.0,0.08,0.203,0.976,0.975,0.08,0.212,0.952,0.975,0.09,0.18,0.857,0.0,0.06,0.203,0.905,0.944,0.556
greek,0.06,0.211,0.976,0.963,0.09,0.232,0.976,0.969,0.06,0.243,0.952,0.963,0.11,0.19,0.976,0.756,0.06,0.227,0.929,0.0,0.15,0.163,0.952,0.894,0.988
greek,0.25,0.144,0.81,0.656,0.08,0.271,0.167,0.35,0.06,0.189,0.786,0.706,0.11,0.186,0.095,0.838,0.11,0.188,0.429,0.681,0.17,0.174,0.524,0.569,0.544
greek,0.05,0.192,0.929,0.681,0.08,0.212,0.976,0.988,0.08,0.223,0.952,0.963,0.09,0.216,0.976,0.819,0.09,0.178,0.524,0.0,0.26,0.151,0.952,0.75,0.956
greek,0.06,0.177,0.881,1.0,0.08,0.206,0.976,1.0,0.09,0.178,0.976,0.975,0.08,0.189,0.381,0.981,0.06,0.186,0.857,0.794,0.06,0.214,0.929,0.931,0.556
greek,0.11,0.188,0.952,0.956,0.08,0.217,0.976,0.988,0.05,0.186,0.857,0.963,0.08,0.202,0.976,0.831,0.08,0.176,0.667,1.0,0.15,0.161,0.905,0.938,0.956
greek,0.11,0.225,0.976,0.938,0.08,0.263,0.976,1.0,0.06,0.221,0.976,0.975,0.11,0.21,0.143,0.919,0.05,0.198,0.286,0.519,0.25,0.152,0.952,0.637,0.975
greek,0.14,0.23,0.976,0.988,0.06,0.271,0.976,1.0,0.09,0.205,0.976,0.963,0.08,0.204,0.976,1.0,0.14,0.166,0.738,1.0,0.23,0.153,0.905,0.887,0.0
greek,0.11,0.186,0.024,0.981,0.06,0.269,0.357,0.5,0.06,0.188,0.595,0.769,0.06,0.2,0.357,0.644,0.08,0.181,0.381,0.594,0.14,0.184,0.167,0.744,0.5
greek,0.11,0.251,0.024,0.719,0.05,0.228,0.643,0.781,0.06,0.213,0.619,0.0,0.14,0.174,0.048,0.731,0.09,0.171,0.524,0.531,0.18,0.173,0.143,0.863,0.562
greek,0.15,0.232,0.333,0.744,0.11,0.195,0.905,0.7,0.05,0.171,0.667,0.594,0.11,0.21,0.0,0.0,0.11,0.168,0.0,0.556,0.15,0.159,0.048,0.781,0.519
german,0.18,0.182,0.214,0.819,0.05,0.264,0.357,0.594,0.08,0.195,0.667,0.556,0.12,0.189,0.714,0.794,0.09,0.185,0.31,0.725,0.23,0.153,0.0,0.531,0.544
german,0.14,0.176,0.405,0.938,0.06,0.228,0.881,0.575,0.06,0.208,0.786,0.719,0.08,0.235,0.024,0.881,0.05,0.212,0.452,0.744,0.14,0.182,0.429,0.681,0.675
german,0.12,0.218,0.976,0.938,0.05,0.297,0.976,1.0,0.06,0.208,0.976,0.644,0.11,0.195,0.976,1.0,0.09,0.174,0.429,0.938,0.17,0.164,0.952,0.95,0.988
german,0.09,0.257,0.024,0.938,0.05,0.229,0.0,0.0,0.05,0.199,0.31,0.894,0.09,0.213,0.143,0.562,0.09,0.164,0.69,0.512,0.2,0.163,0.786,0.8,0.794
german,0.15,0.178,0.976,0.0,0.05,0.303,0.976,1.0,0.11,0.17,0.976,0.831,0.08,0.169,0.857,0.988,0.09,0.17,0.69,0.631,0.06,0.202,0.952,0.925,0.594
german,0.11,0.157,0.381,0.806,0.06,0.257,0.833,0.656,0.06,0.22,0.405,0.0,0.06,0.187,0.333,0.681,0.09,0.176,0.452,0.681,0.08,0.186,0.048,0.769,0.519
german,0.18,0.206,0.024,0.544,0.05,0.215,0.286,0.494,0.09,0.199,0.548,0.531,0.11,0.172,0.024,0.731,0.14,0.165,0.476,0.0,0.15,0.153,0.048,0.719,0.531
german,0.08,0.177,0.81,0.912,0.09,0.201,0.952,1.0,0.11,0.193,0.976,0.95,0.08,0.201,0.976,0.931,0.12,0.147,0.452,1.0,0.17,0.161,0.929,0.8,0.956
german,0.12,0.219,0.976,0.631,0.05,0.246,0.976,1.0,0.05,0.189,0.738,0.0,0.09,0.193,0.952,0.831,0.12,0.168,0.833,0.0,0.22,0.164,0.929,0.869,0.975
german,0.11,0.212,0.976,0.794,0.06,0.286,0.952,1.0,0.05,0.195,0.786,0.956,0.12,0.198,0.976,0.769,0.06,0.172,0.667,0.0,0.22,0.155,0.048,0.8,0.938
german,0.14,0.216,0.976,0.95,0.06,0.286,0.976,1.0,0.08,0.215,0.976,0.988,0.12,0.189,0.976,0.944,0.09,0.17,0.429,0.0,0.17,0.163,0.929,0.925,0.975
german,0.14,0.183,0.286,0.956,0.06,0.294,0.929,0.569,0.17,0.183,0.405,0.713,0.11,0.202,0.0,0.0,0.18,0.144,0.0,0.0,0.18,0.159,0.381,0.0,0.631
german,0.15,0.163,0.976,0.925,0.06,0.289,0.976,1.0,0.06,0.218,0.929,0.963,0.11,0.184,0.881,0.894,0.08,0.169,0.786,0.95,0.06,0.202,0.786,0.944,0.644
german,0.23,0.146,0.452,0.963,0.08,0.2,0.976,0.0,0.11,0.201,0.976,1.0,0.09,0.184,0.881,0.919,0.11,0.173,0.905,0.0,0.2,0.163,0.952,0.844,0.988
german,0.12,0.167,0.0,0.0,0.06,0.206,0.976,1.0,0.06,0.183,0.952,0.988,0.08,0.205,0.214,0.981,0.09,0.166,0.833,0.0,0.14,0.169,0.976,0.806,0.925
german,0.05,0.166,0.857,0.731,0.06,0.182,0.929,0.569,0.09,0.196,0.881,0.819,0.09,0.198,0.69,0.925,0.09,0.186,0.786,0.925,0.06,0.204,0.143,0.887,0.644
german,0.15,0.185,0.714,0.762,0.05,0.239,0.405,0.988,0.06,0.205,0.881,0.844,0.11,0.209,0.119,0.988,0.09,0.187,0.738,0.562,0.15,0.165,0.214,0.912,0.606
german,0.08,0.178,0.286,0.756,0.09,0.172,0.095,0.556,0.06,0.193,0.333,0.781,0.15,0.178,0.286,0.831,0.11,0.189,0.548,0.0,0.22,0.169,0.619,0.725,0.825
german,0.08,0.198,0.976,0.694,0.08,0.196,0.976,1.0,0.05,0.21,0.762,0.831,0.06,0.215,0.905,0.0,0.08,0.172,0.714,0.556,0.08,0.196,0.952,0.931,1.0
